index,mom_x,mom_y,mom_z
0,0.00001926442567402904,-1.2174413972072626e-8,1.3485988075641402e-8
1,0.00001927451156500785,1.4886472595026518e-7,4.152531001517553e-8
2,0.000019279780321824276,3.2466029016000986e-7,6.934819376043556e-8
3,0.000019274584636353684,5.044860459080241e-7,9.418491104101488e-8
4,0.00001926548816085621,6.831517080785457e-7,1.0876992626854458e-7
5,0.000019256507824698166,8.651996002418304e-7,1.1914484440558987e-7
6,0.00001924652759462058,1.0474411751076038e-6,1.3094144081431653e-7
7,0.000019234399648710487,1.2340793775327333e-6,1.4083522392977795e-7
8,0.00001921896693987248,1.4157192198674416e-6,1.536846149248601e-7
9,0.00001920597152993401,1.5790394023672284e-6,1.7903910309821042e-7
10,0.000019197637883273965,1.733931630413432e-6,2.0140650748451077e-7
11,0.000019182310658287395,1.9073748083518035e-6,2.072093030695065e-7
12,0.00001915805880372041,2.1037297344995097e-6,2.0745968799794043e-7
13,0.000019130683709720534,2.307746709054787e-6,2.073374420070887e-7
14,0.000019104742429892313,2.5110053137506265e-6,1.987104536892596e-7
15,0.000019081627246018898,2.704543610456829e-6,1.7777408543750367e-7
16,0.00001905650257361646,2.8884319865221365e-6,1.5261941179069327e-7
17,0.000019026746387678155,3.0711555432384183e-6,1.26794741742032e-7
18,0.000018990773805027795,3.254736945437078e-6,9.92345348253233e-8
19,0.00001894897658849059,3.4414088107816223e-6,8.011248447751568e-8
20,0.00001890650413083179,3.6364194010370653e-6,7.43558687047212e-8
21,0.0000188671515128234,3.8292094791446265e-6,6.881961331820173e-8
22,0.000018829335074797795,4.011189926178099e-6,5.579555677324444e-8
23,0.000018793686532788553,4.1871524917421026e-6,4.149803043100778e-8
24,0.000018754157320135526,4.3702187759537465e-6,4.175353703028005e-8
25,0.00001869995983542169,4.568882661924184e-6,5.032550933582848e-8
26,0.00001863758667997415,4.766522265782975e-6,4.244170250535081e-8
27,0.00001858339499213668,4.945131299460876e-6,2.1082095398201822e-8
28,0.00001854607456031679,5.108250550675061e-6,4.0689695917482515e-9
29,0.0000185268021528336,5.263481930140052e-6,-9.27076201816172e-9
30,0.000018498563587348022,5.433048103265799e-6,-2.351389177949946e-8
31,0.000018430952534207456,5.643201944790407e-6,-2.7123074860813536e-8
32,0.000018354594269095048,5.848892903281275e-6,-2.9478942497054577e-8
33,0.000018280050611640697,6.0373028576501514e-6,-3.714808556194461e-8
34,0.000018213123992372085,6.207602990452605e-6,-5.466589146555308e-8
35,0.000018147090766103002,6.374807155891665e-6,-7.75210505843805e-8
36,0.000018080543479493576,6.550319387184659e-6,-9.787272395288223e-8
37,0.0000180100613572649,6.7341125445083166e-6,-1.127121889757501e-7
38,0.00001793679631151932,6.9168281365090685e-6,-1.243599957413594e-7
39,0.000017865499544938702,7.089819267764771e-6,-1.3645910132040621e-7
40,0.000017795304244719517,7.2571980377472086e-6,-1.489855458342574e-7
41,0.000017722056358844753,7.421920598253648e-6,-1.612550656282512e-7
42,0.000017646427816614244,7.578177002362419e-6,-1.7355880491868662e-7
43,0.000017570897206230066,7.728030775435212e-6,-1.8795983314359678e-7
44,0.000017496506956623375,7.883255279986918e-6,-2.0288510879331057e-7
45,0.000017420307113283334,8.046740364821154e-6,-2.1299076787353661e-7
46,0.00001733492941269995,8.216550268458285e-6,-2.2376206202979227e-7
47,0.00001723799843978082,8.388572009497304e-6,-2.432130321904226e-7
48,0.00001714028540827501,8.551255396199166e-6,-2.6907441787422874e-7
49,0.00001704968228463817,8.697860405057053e-6,-2.9601782672283555e-7
50,0.000016957274951249435,8.845182817978264e-6,-3.194658884317129e-7
51,0.000016860171259757015,9.001522339521968e-6,-3.398086914758568e-7
52,0.00001676233249167235,9.161456360382014e-6,-3.5860408785005923e-7
53,0.00001666191384168568,9.320251743456282e-6,-3.7218265710709217e-7
54,0.000016557923383618626,9.475223731492283e-6,-3.846210011140954e-7
55,0.000016455081856703918,9.621577104226174e-6,-4.07386584829239e-7
56,0.000016355416228344524,9.759984227460279e-6,-4.372813274812346e-7
57,0.00001625821834407159,9.892333752967794e-6,-4.652636704471915e-7
58,0.00001615600515241328,0.000010024784038785773,-4.866416196033566e-7
59,0.000016038374345746765,0.000010164609130567102,-5.007560233474536e-7
60,0.000015910147352540605,0.000010308772648048393,-5.116036883183003e-7
61,0.000015785086448057286,0.000010452281162250108,-5.254737844913098e-7
62,0.000015665656034300783,0.00001059196681252778,-5.454227581510671e-7
63,0.00001554736462639264,0.000010723386688425767,-5.701881366112099e-7
64,0.00001542636078764914,0.000010849417161095295,-5.938991446498193e-7
65,0.000015304499999401523,0.000010973296594595666,-6.113302861960097e-7
66,0.000015184011123749798,0.00001109141347308699,-6.228198555571135e-7
67,0.000015066067260452985,0.00001120510073135276,-6.290163457411619e-7
68,0.000014945707639132201,0.00001132500564864552,-6.291518946413071e-7
69,0.000014820265751477182,0.000011453439676424008,-6.25733128843832e-7
70,0.000014694723488944188,0.00001157944233384117,-6.210926079795384e-7
71,0.000014574522581685713,0.000011696293169505026,-6.126291640787313e-7
72,0.00001446014041880009,0.000011809125185372271,-5.998888267028665e-7
73,0.000014348172002976456,0.000011920158592480715,-5.842922758483803e-7
74,0.00001423799410179051,0.00001202398099177488,-5.659750228898806e-7
75,0.000014130153445771287,0.000012119087755609335,-5.450407061394472e-7
76,0.000014024988423413697,0.000012211312562414861,-5.218607155321673e-7
77,0.000013921712893787576,0.000012302800375828185,-4.971278259229448e-7
78,0.00001381896618563312,0.000012393287790303918,-4.7053507842020353e-7
